TIMESTAMP;LC2110_PV;PIC2209_PV;PIC2210_PV;PI2202_PV;PC2108_PV;PC2201_PV;YI2201_PV;RO2201_FV;RD2201_FV;RO2109_FV;FC2202_PV;PI2203_PV;SC2201_PV;CI2201_FV;FC2203_PV;TI2207_PV;FC2204_PV;SC2105_PV;YY2105_PV;DYNA_VIB_RADIAL_H_LOA_DROPIN_RD_2201;DYNA_ACEL_RADIAL_H_LOA_DROPIN_RD_2201;DYNA_VIB_RADIAL_H_LA_DROPIN_RD_2201;DYNA_ACEL_RADIAL_H_LA_DROPIN_RD_2201;DYNA_VIB_AXIAL_LA_DROPIN_RD_2201;DYNA_VIB_AXIAL_LA_MOTOR_RD_2201;RD2201_V_TENS_MCM;RD2201_I_CORR_MCM;RD2201_VEL_MCM;RD2201_FP_MCM;RD2201_FC_MCM;RD2201_FSEXT_MCM;RD2201_FSROT_MCM;RD2201_FSALI_MCM;RD2201_FSEST_MCM;RD2201_FSCAR_MCM;ZIC2214_PV;XI2223_PV;XI2225_PV;XI2224_PV;ZIC2213_PV
2022-07-03 06:01:00-03:00;51.39783;346.1641;346.1641;28.44039;180.4251;230.7501;1.398934;260.983;10.08531;11.77867;133.3887;4.943075;119.7948;8.012748;109.0703;82.93007;31.77323;17.98451;7.196937;0.1496887;0.0;1.662543;0.0625;0.8981323;2.805915;13127.26;482.955;1797.462;0.775;55.699;0.02;0.03;0.199;0.876;0.769;1.156769;0.4046343;0.4654091;0.3096593;0.5917544
2022-07-03 06:02:00-03:00;49.1432;350.1815;350.1815;29.43483;183.6452;234.8941;1.603676;233.7482;11.54689;11.84267;136.0273;4.045325;119.8021;8.052146;106.5653;82.9435;31.75845;17.988;7.19831;0.1496887;0.0;1.722418;0.0625;0.8981323;2.790946;13124.84;487.41;1797.204;0.77;56.478;0.02;0.03;0.198;0.842;0.778;0.9217758;0.3994608;0.4655808;0.3097538;0.591764
2022-07-03 06:03:00-03:00;50.39185;346.3146;346.3146;27.87063;178.3693;227.6577;1.544958;208.4155;11.15352;11.02875;135.8704;5.193499;119.8862;8.058005;106.8879;82.95692;31.74367;17.99149;7.199684;0.1496887;0.0;1.782294;0.0625;0.8981323;2.775977;13122.42;491.865;1796.946;0.765;57.257;0.02;0.03;0.197;0.808;0.787;1.111212;0.3942873;0.4657525;0.3098483;0.5917735
2022-07-03 06:04:00-03:00;56.29757;351.3396;351.3396;26.07789;176.2671;224.9463;1.579605;225.2726;11.38481;12.2135;133.1599;6.430878;119.9009;8.063865;106.849;82.97035;31.7289;17.99499;7.201057;0.1496887;0.0;1.75036;0.0625;0.8866562;2.761009;13120.0;496.32;1796.688;0.76;58.036;0.02;0.03;0.196;0.774;0.796;1.159928;0.3891138;0.4659241;0.3099428;0.5917831
2022-07-03 06:05:00-03:00;62.49612;348.4968;348.4968;25.74667;175.5563;225.4484;1.437041;204.5472;10.34744;11.44304;136.3448;6.579559;119.6113;8.069725;107.1185;82.98378;31.71412;17.99848;7.20243;0.1496887;0.0;1.690485;0.0625;0.8716874;2.74604;13117.58;500.775;1796.43;0.755;58.815;0.02;0.03;0.195;0.74;0.805;1.219943;0.3839403;0.4660958;0.3100373;0.5917926
2022-07-03 06:06:00-03:00;63.87307;351.0474;351.0474;26.16547;178.8614;227.9604;1.514221;226.2516;10.89951;13.79064;135.0962;6.366647;119.7701;8.075584;106.8831;82.99721;31.78954;18.00197;7.203804;0.1496887;0.0;1.630609;0.0625;0.8567185;2.731071;13115.17;505.23;1796.172;0.75;59.594;0.02;0.03;0.194;0.706;0.814;1.279958;0.3787668;0.4662674;0.3101318;0.5918022
2022-07-03 06:07:00-03:00;60.4482;349.1825;349.1825;27.94029;179.5532;230.2823;1.532967;234.5715;11.05018;13.08076;133.8038;5.295623;119.6505;8.081444;107.2949;83.01064;31.85125;18.00546;7.205177;0.1496887;0.0;1.570734;0.0625;0.8417496;2.716102;13112.75;509.685;1795.914;0.745;60.373;0.02;0.03;0.193;0.672;0.823;1.051465;0.3735933;0.4664391;0.3102263;0.5918117
2022-07-03 06:08:00-03:00;56.53782;350.3252;350.3252;28.55653;185.3725;228.6172;1.47303;225.0901;10.60982;11.32691;136.4638;6.129427;119.6131;8.087303;106.4751;83.02406;31.85767;18.00895;7.206551;0.1496887;0.0;1.510858;0.0625;0.8267807;2.701133;13110.33;514.14;1795.656;0.74;61.152;0.02;0.03;0.192;0.638;0.832;1.233763;0.3684199;0.4666108;0.3103208;0.5918213
2022-07-03 06:09:00-03:00;51.65363;350.5981;350.5981;27.65218;185.6407;231.8705;1.491172;222.7416;10.73962;11.66786;135.0963;5.215855;119.8925;8.093163;107.0237;83.03749;31.8641;18.01244;7.207924;0.1496887;0.0;1.450983;0.0625;0.8118119;2.706746;13107.91;518.595;1795.398;0.735;61.931;0.02;0.03;0.191;0.604;0.841;1.139142;0.3632464;0.4667825;0.3104153;0.5918308
2022-07-03 06:10:00-03:00;47.57254;346.8528;346.8528;26.41489;184.1832;226.2001;1.484356;247.5327;10.68803;12.11674;133.9952;6.320468;119.5774;8.099023;107.2094;83.01494;31.87052;18.01593;7.209297;0.1496887;0.0;1.391107;0.0625;0.796843;2.7292;13105.49;523.05;1795.14;0.73;62.71;0.02;0.03;0.19;0.57;0.85;1.089744;0.3632536;0.4669541;0.3105098;0.5918404
2022-07-03 06:11:00-03:00;45.75988;352.1216;352.1216;28.32157;184.7139;233.4129;1.582805;225.1897;11.41177;10.9051;136.117;5.767098;119.6454;8.104882;107.0863;83.01632;31.87695;18.0124;7.208029;0.1496887;0.0;1.331232;0.0625;0.7818741;2.751653;13106.1;520.105;1795.238;0.734;62.197;0.022;0.028;0.189;0.6;0.902;1.088716;0.3633497;0.4671258;0.3106043;0.5918499
2022-07-03 06:12:00-03:00;49.20142;353.8192;353.8192;28.85994;183.9426;233.6576;1.520002;232.1048;10.91196;12.43887;134.6398;5.685851;119.6088;7.945091;106.7595;83.01876;31.88337;18.01052;7.207251;0.1496887;0.0;1.271356;0.0625;0.7669052;2.774106;13106.71;517.16;1795.336;0.738;61.684;0.024;0.026;0.188;0.63;0.954;1.087689;0.3634458;0.4672974;0.3106988;0.5918595
2022-07-03 06:13:00-03:00;52.97776;349.4317;349.4317;25.4265;178.0612;227.2928;1.488812;230.4587;10.7026;11.17763;134.2484;5.924826;119.5722;7.968257;107.3817;83.0212;31.8898;18.00864;7.206472;0.1496887;0.0;1.211481;0.0625;0.7519364;2.79656;13107.32;514.215;1795.434;0.742;61.171;0.026;0.024;0.187;0.66;1.006;1.086661;0.3635418;0.4674691;0.3107933;0.591869
2022-07-03 06:14:00-03:00;57.19859;349.3492;349.3492;26.97055;178.1323;228.1107;1.447204;230.7917;10.42522;11.44352;136.0545;6.034392;119.5355;7.997551;107.3195;83.02364;31.89622;18.00676;7.205694;0.1496887;0.0;1.19751;0.0625;0.7943482;2.819013;13107.93;511.27;1795.532;0.746;60.658;0.028;0.022;0.186;0.69;1.058;1.085634;0.3636379;0.4676408;0.3108878;0.5918785
2022-07-03 06:15:00-03:00;61.80627;347.1935;347.1935;28.00407;177.3773;228.48;1.528991;241.9927;11.02706;11.48555;133.5768;5.46737;119.8598;8.157068;107.2401;83.02608;31.90265;18.00488;7.204916;0.1496887;0.0;1.19751;0.0625;0.8542237;2.841466;13108.54;508.325;1795.63;0.75;60.145;0.03;0.02;0.185;0.72;1.11;1.084606;0.363734;0.4678124;0.3109823;0.5918881
2022-07-03 06:16:00-03:00;61.85633;348.5421;348.5421;27.7788;176.4039;226.5591;1.477864;250.4328;10.66558;11.14007;135.1546;6.193319;119.672;8.137536;107.3181;83.02853;31.90907;18.003;7.204137;0.1496887;0.0;1.19751;0.0625;0.9140992;2.86392;13109.16;505.38;1795.728;0.754;59.632;0.032;0.018;0.184;0.75;1.162;1.083579;0.3638301;0.4679841;0.3110768;0.5918977
2022-07-03 06:17:00-03:00;61.50731;347.5526;347.5526;26.30885;181.0168;229.8407;1.597243;232.7877;11.44654;11.75703;136.0321;6.083934;119.7511;8.118004;107.4529;83.03097;31.82472;18.00112;7.203359;0.1496887;0.0;1.19751;0.0625;0.9739746;2.886373;13109.77;502.435;1795.826;0.758;59.119;0.034;0.016;0.183;0.78;1.214;1.082551;0.3639261;0.4681557;0.3111714;0.5919072
2022-07-03 06:18:00-03:00;56.18708;348.7713;348.7713;27.88418;184.3104;230.1779;1.478321;239.9132;10.65787;11.96839;133.1684;5.858658;119.8302;8.098472;107.5424;83.03341;31.82045;17.99924;7.202581;0.1496887;0.0;1.19751;0.0625;1.03385;2.908826;13110.38;499.49;1795.924;0.762;58.606;0.036;0.014;0.182;0.81;1.266;1.081523;0.3640222;0.4683274;0.3112659;0.5919167
2022-07-03 06:19:00-03:00;49.84251;350.5851;350.5851;27.4706;181.5528;233.5324;1.515633;232.3457;10.91739;11.00717;136.0249;5.293188;119.7083;8.078939;107.1974;83.03585;31.81617;17.99736;7.201803;0.1496887;0.0;1.19751;0.0625;1.093726;2.91893;13110.99;496.545;1796.022;0.766;58.093;0.038;0.012;0.181;0.84;1.318;1.080496;0.3641183;0.4684991;0.3113604;0.5919263
2022-07-03 06:20:00-03:00;45.13791;347.1152;347.1152;27.53086;179.1291;230.8426;1.415189;232.1621;10.18595;10.88184;135.3832;5.230635;119.6712;7.954102;107.2381;83.03829;31.8119;17.99548;7.201025;0.1496887;0.0;1.19751;0.0625;1.153601;2.91893;13111.6;493.6;1796.12;0.77;57.58;0.04;0.01;0.18;0.87;1.37;1.079468;0.3642144;0.4686707;0.3114549;0.5919358
2022-07-03 06:21:00-03:00;46.08414;346.5184;346.5184;27.0039;174.9815;226.6926;1.488784;253.2709;10.7167;11.03153;133.793;5.504718;119.7183;7.954102;107.2788;83.02509;31.80763;18.00619;7.20549;0.1496887;0.0;1.19751;0.0625;1.213477;2.91893;13114.61;494.367;1796.173;0.769;57.718;0.039;0.01;0.179;0.849;1.355;1.078441;0.3643104;0.4688424;0.3115494;0.5919454
2022-07-03 06:22:00-03:00;52.06293;346.8998;346.8998;25.90617;173.424;226.115;1.517621;241.2621;10.92261;10.5189;136.4122;6.123134;119.7654;7.954102;106.9106;83.01031;31.80336;18.00923;7.2067;0.1496887;0.0;1.19751;0.0625;1.273352;2.91893;13117.61;495.134;1796.226;0.768;57.856;0.038;0.01;0.178;0.828;1.34;1.077413;0.3644065;0.469014;0.3116439;0.5919549
2022-07-03 06:23:00-03:00;58.39553;352.7269;352.7269;28.198;174.2464;231.8012;1.524876;261.5139;10.98901;11.77042;134.5384;4.844482;119.8124;7.940024;106.933;82.99554;31.79908;18.01192;7.20776;0.1496887;0.0;1.19751;0.0625;1.333228;2.91893;13120.62;495.901;1796.279;0.767;57.994;0.037;0.01;0.177;0.807;1.325;1.076386;0.3645026;0.4691857;0.3117384;0.5919645
2022-07-03 06:24:00-03:00;63.1473;348.2746;348.2746;25.63621;176.0866;226.9734;1.419753;223.8378;10.23359;13.30322;134.5256;5.344577;119.8733;8.131166;106.9696;82.98076;31.79481;18.0146;7.20882;0.1496887;0.0;1.220462;0.0625;1.335722;2.91893;13123.63;496.668;1796.332;0.766;58.132;0.036;0.01;0.176;0.786;1.31;1.075358;0.3645987;0.4693574;0.3118329;0.591974
2022-07-03 06:25:00-03:00;62.5645;349.0388;349.0388;27.66202;177.6053;233.5695;1.547433;248.7407;11.11573;11.73213;135.8989;4.737328;119.8232;8.103506;107.0062;82.96599;31.79054;18.01729;7.20988;0.1496887;0.0;1.2504;0.0625;1.320753;2.91893;13126.63;497.435;1796.385;0.765;58.27;0.035;0.01;0.175;0.765;1.295;1.07433;0.3646947;0.469529;0.3119274;0.5919836
2022-07-03 06:26:00-03:00;57.57376;347.4007;347.4007;26.38402;181.4473;230.1932;1.487121;246.5013;10.71185;11.41853;133.8864;5.578806;119.7732;8.075846;107.0428;82.95121;31.78626;18.01997;7.21094;0.1496887;0.0;1.280338;0.0625;1.305785;2.91893;13129.64;498.202;1796.438;0.764;58.408;0.034;0.01;0.174;0.744;1.28;1.073303;0.3647908;0.4697007;0.3120219;0.5919931
2022-07-03 06:27:00-03:00;53.37097;349.4593;349.4593;27.2055;183.8547;229.7038;1.518227;247.5022;10.93941;11.28614;135.1904;5.063149;119.542;8.048185;107.1331;82.93644;31.81061;18.02266;7.212;0.1496887;0.0;1.310275;0.0625;1.290816;2.91893;13132.65;498.969;1796.491;0.763;58.546;0.033;0.01;0.173;0.723;1.265;1.072275;0.3648869;0.4698724;0.3121164;0.5920026
2022-07-03 06:28:00-03:00;49.59035;354.2718;354.2718;28.45221;185.4299;237.1883;1.506828;308.4474;10.86009;10.26661;135.7002;4.667902;119.5349;8.020526;107.066;82.92166;31.803;18.02534;7.21306;0.1496887;0.0;1.340213;0.0625;1.275847;2.91893;13135.66;499.736;1796.544;0.762;58.684;0.032;0.01;0.172;0.702;1.25;1.071248;0.364983;0.470044;0.3122109;0.5920122
2022-07-03 06:29:00-03:00;49.34441;351.5443;351.5443;28.4459;185.0395;230.5468;1.603924;296.4509;11.55264;10.73876;133.1033;6.85814;119.5349;8.049661;106.8784;82.90689;31.79432;18.02803;7.214119;0.1496887;0.0;1.370151;0.0625;1.260878;2.898348;13138.66;500.503;1796.597;0.761;58.822;0.031;0.01;0.171;0.681;1.235;1.07022;0.365079;0.4702157;0.3123054;0.5920218
2022-07-03 06:30:00-03:00;49.76096;345.6;345.6;27.30887;177.7005;225.9821;1.409307;263.6864;10.15807;10.48423;135.8299;6.260489;119.796;8.020287;107.2177;82.89211;31.78565;18.03071;7.215179;0.1496887;0.0;1.400089;0.0625;1.245909;2.860926;13141.67;501.27;1796.65;0.76;58.96;0.03;0.01;0.17;0.66;1.22;1.069193;0.3651751;0.4703873;0.3124;0.5920313
2022-07-03 06:31:00-03:00;54.98506;346.2574;346.2574;27.69049;179.8959;228.8791;1.522883;259.6262;10.93489;11.44056;135.526;6.135067;119.7592;8.005638;106.9973;82.88645;31.77698;18.00364;7.20426;0.1496887;0.0;1.430026;0.0625;1.23094;2.823504;13140.46;500.22;1796.766;0.761;58.777;0.031;0.014;0.172;0.681;1.201;1.068165;0.3652712;0.470559;0.3124945;0.5920408
2022-07-03 06:32:00-03:00;59.51425;350.9543;350.9543;28.16509;176.5262;229.9853;1.589396;256.247;11.44467;11.27315;133.1355;5.058349;119.7116;7.99099;107.1145;82.90058;31.76831;18.00401;7.204411;0.1496887;0.0;1.459964;0.0625;1.215971;2.786082;13139.26;499.17;1796.882;0.762;58.594;0.032;0.018;0.174;0.702;1.182;1.067137;0.3653673;0.4707307;0.312589;0.5924399
2022-07-03 06:33:00-03:00;64.68475;351.3406;351.3406;28.21925;178.5747;232.2901;1.470979;275.2528;10.5998;11.57967;136.5313;5.310458;119.6639;7.976341;106.9473;82.91472;31.75964;18.00549;7.205006;0.1496887;0.0;1.489902;0.0625;1.201002;2.748659;13138.05;498.12;1796.998;0.763;58.411;0.033;0.022;0.176;0.723;1.163;1.06611;0.3654633;0.4709023;0.3126835;0.5928462
2022-07-03 06:34:00-03:00;61.19615;350.1392;350.1392;27.89791;179.8044;233.5878;1.633997;242.0975;11.76794;11.53517;135.4622;5.003746;119.6003;7.961692;107.209;82.92886;31.75096;18.00697;7.205601;0.1496887;0.0;1.485411;0.0625;1.186034;2.711237;13136.84;497.07;1797.114;0.764;58.228;0.034;0.026;0.178;0.744;1.144;1.065082;0.3655594;0.471074;0.312778;0.5932525
2022-07-03 06:35:00-03:00;57.10976;349.6841;349.6841;28.05709;184.0074;231.4185;1.510432;254.2169;10.87305;12.597;133.7648;5.814048;119.6397;7.947044;107.2092;82.94299;31.74229;18.00845;7.206196;0.1496887;0.0;1.470442;0.0625;1.171065;2.673815;13135.63;496.02;1797.23;0.765;58.045;0.035;0.03;0.18;0.765;1.125;1.060356;0.3656555;0.4712456;0.3128725;0.5936589
2022-07-03 06:36:00-03:00;51.02142;352.8158;352.8158;28.54224;180.4982;238.1302;1.510557;259.1779;10.88303;9.938825;136.5159;4.630316;119.6356;7.932395;107.204;82.95712;31.73362;18.00992;7.206791;0.1496887;0.0;1.455473;0.0625;1.156096;2.636393;13134.43;494.97;1797.346;0.766;57.862;0.036;0.034;0.182;0.786;1.106;1.05556;0.3657516;0.4714173;0.312967;0.5940651
2022-07-03 06:37:00-03:00;46.69909;353.2421;353.2421;29.13188;181.8883;233.7297;1.587877;254.9171;11.42862;10.89216;134.6687;4.961072;119.8109;7.917747;107.1988;82.97126;31.79385;18.0114;7.207386;0.1496887;0.0;1.440505;0.0625;1.141127;2.59897;13133.22;493.92;1797.462;0.767;57.679;0.037;0.038;0.184;0.807;1.087;1.050764;0.3658476;0.471589;0.3130615;0.5944715
2022-07-03 06:38:00-03:00;44.56273;350.9365;350.9365;27.91343;179.3323;231.0336;1.549004;253.0421;11.16615;10.76384;134.2816;5.223246;119.806;7.903098;107.1935;82.98539;31.7909;18.01288;7.207982;0.1496887;0.0;1.425536;0.0625;1.126158;2.561548;13132.01;492.87;1797.578;0.768;57.496;0.038;0.042;0.186;0.828;1.068;1.045969;0.3659437;0.4717606;0.313156;0.5948778
2022-07-03 06:39:00-03:00;48.33349;352.547;352.547;27.81173;177.3653;231.6071;1.5728;249.2936;11.31676;10.38992;136.7435;5.506616;119.8011;7.888449;107.1883;82.99953;31.78544;18.01435;7.208577;0.1496887;0.0;1.410567;0.0625;1.111189;2.561174;13130.81;491.82;1797.694;0.769;57.313;0.039;0.046;0.188;0.849;1.049;1.041173;0.3660398;0.4719323;0.3132505;0.595284
2022-07-03 06:40:00-03:00;54.99275;349.6163;349.6163;26.87446;177.8087;229.1326;1.5395;239.6256;11.10038;12.89881;135.3791;5.381065;119.7962;8.119958;107.1831;83.01366;31.77998;18.01583;7.209172;0.1496887;0.0;1.395598;0.0625;1.09622;2.591112;13129.6;490.77;1797.81;0.77;57.13;0.04;0.05;0.19;0.87;1.03;1.036377;0.3661358;0.472104;0.313345;0.5956904
2022-07-03 06:41:00-03:00;60.58116;349.4709;349.4709;27.40276;176.1368;231.8666;1.561598;259.8095;11.27513;11.44134;133.6083;5.238988;119.7914;8.114561;107.1778;83.06099;31.77452;18.01731;7.209767;0.1496887;0.0;1.380629;0.0625;1.081252;2.62105;13131.95;490.233;1797.665;0.77;57.029;0.037;0.05;0.189;0.87;0.999;1.031582;0.3662319;0.4722756;0.3134395;0.5960966
2022-07-03 06:42:00-03:00;63.666;351.0135;351.0135;28.04591;185.1273;233.2103;1.402321;254.2766;10.09097;11.45843;135.557;5.318452;119.6162;8.109164;106.9079;83.0827;31.76906;18.02478;7.213032;0.1496887;0.0;1.36566;0.0625;1.066283;2.650987;13134.3;489.696;1797.52;0.77;56.928;0.034;0.05;0.188;0.87;0.968;1.026786;0.366328;0.4724473;0.313534;0.596503
2022-07-03 06:43:00-03:00;61.59694;349.5107;349.5107;29.25826;185.6548;233.0281;1.511486;250.1871;10.88303;11.31894;135.85;5.46119;119.6784;8.103767;106.9811;83.10439;31.7636;18.01793;7.210285;0.1496887;0.0;1.350691;0.0625;1.051314;2.680925;13136.64;489.159;1797.375;0.77;56.827;0.031;0.05;0.187;0.87;0.937;1.02199;0.3664241;0.472619;0.3136285;0.5969093
2022-07-03 06:44:00-03:00;60.78446;349.9361;349.9361;27.99405;179.8042;228.8044;1.646812;264.5525;11.86893;11.88333;133.6949;5.785472;119.3014;8.098371;107.1249;83.12609;31.75814;18.01108;7.207539;0.1496887;0.0;1.358675;0.0625;1.036345;2.710863;13138.99;488.622;1797.23;0.77;56.726;0.028;0.05;0.186;0.87;0.906;1.017195;0.3665201;0.4727906;0.313723;0.5973155
2022-07-03 06:45:00-03:00;56.614;349.9116;349.9116;28.38024;182.4387;232.4272;1.53522;258.091;10.93171;10.69387;134.0043;6.313402;119.8866;8.092974;106.8548;83.1478;31.75268;18.00423;7.204792;0.1496887;0.0;1.373644;0.0625;1.021376;2.740801;13141.34;488.085;1797.085;0.77;56.625;0.025;0.05;0.185;0.87;0.875;1.072424;0.3666162;0.4729623;0.3138175;0.5977219
2022-07-03 06:46:00-03:00;52.17805;352.9632;352.9632;29.03643;177.1366;234.7109;1.544228;244.5907;11.1343;12.55181;135.6329;4.348797;119.8903;8.087577;106.8268;83.16949;31.74722;17.99738;7.202045;0.1496887;0.0;1.388612;0.0625;1.006407;2.770738;13143.69;487.548;1796.94;0.77;56.524;0.022;0.05;0.184;0.87;0.844;1.138903;0.3667123;0.473134;0.313912;0.5981282
2022-07-03 06:47:00-03:00;46.37487;344.9416;344.9416;27.48252;179.7311;230.4055;1.427995;247.4336;10.28342;10.90023;136.4285;5.396418;119.8829;8.08218;106.8051;83.1912;31.72674;17.99053;7.199299;0.1496887;0.0;1.403581;0.0625;0.9914384;2.800676;13146.04;487.011;1796.795;0.77;56.423;0.019;0.05;0.183;0.87;0.813;1.148058;0.3668084;0.4733056;0.3140065;0.5985345
2022-07-03 06:48:00-03:00;49.03282;346.4322;346.4322;26.31919;178.9589;224.5068;1.420507;254.538;10.24282;10.80887;134.9226;6.033111;119.7025;8.076783;106.7834;83.2129;31.67363;17.98369;7.196552;0.1496887;0.0;1.41855;0.0625;0.9764695;2.830614;13148.38;486.474;1796.65;0.77;56.322;0.016;0.05;0.182;0.87;0.782;1.157214;0.3669044;0.4734773;0.314101;0.5989408
2022-07-03 06:49:00-03:00;53.87549;352.6525;352.6525;27.82502;179.6043;228.6967;1.450079;255.3415;10.45452;11.05482;133.4806;6.008953;119.3294;8.071386;106.7617;83.2346;31.62022;17.97684;7.193805;0.1496887;0.0;1.433519;0.0625;0.9615006;2.82762;13150.73;485.937;1796.505;0.77;56.221;0.013;0.05;0.181;0.87;0.751;1.166369;0.3670005;0.4736489;0.3141955;0.5993471
2022-07-03 06:50:00-03:00;60.23098;350.1433;350.1433;27.7534;180.2013;230.8545;1.467536;224.2401;10.6795;12.40658;135.6768;4.838789;119.7419;8.044376;107.1035;83.27527;31.70151;17.96999;7.191059;0.1496887;0.0;1.448488;0.0625;0.9465317;2.797682;13153.08;485.4;1796.36;0.77;56.12;0.01;0.05;0.18;0.87;0.72;1.175525;0.3670966;0.4738206;0.3142901;0.5997534
2022-07-03 06:51:00-03:00;60.1476;351.9979;351.9979;28.95819;181.2262;234.6972;1.450684;254.5929;10.46193;11.77832;136.3214;4.90371;119.7688;8.034122;106.7976;83.25779;31.72676;17.96314;7.188312;0.1496887;0.0;1.463457;0.0625;0.9315628;2.767745;13153.16;486.101;1796.507;0.77;56.25;0.012;0.048;0.18;0.866;0.758;0.9581316;0.3671927;0.4739923;0.3143846;0.6001597
2022-07-03 06:52:00-03:00;60.83878;350.4099;350.4099;27.84369;185.5673;232.6734;1.577886;228.6021;11.38939;11.74117;134.9203;4.900666;119.8223;8.023868;107.1246;83.23886;31.76163;18.01403;7.208539;0.1496887;0.0;1.478426;0.0625;0.916594;2.737807;13153.24;486.802;1796.654;0.77;56.38;0.014;0.046;0.18;0.862;0.796;1.122163;0.3672887;0.4741639;0.3144791;0.600566
2022-07-03 06:53:00-03:00;57.60414;343.2097;343.2097;27.39048;179.6685;227.2663;1.399248;225.9257;10.07523;12.00165;133.583;5.683933;119.8013;8.013613;107.1918;83.21994;31.79651;18.01502;7.208941;0.1496887;0.0;1.493395;0.0625;0.901625;2.707869;13153.33;487.503;1796.801;0.77;56.51;0.016;0.044;0.18;0.858;0.8340001;0.9975249;0.3673848;0.4743356;0.3145736;0.6009723
2022-07-03 06:54:00-03:00;54.59084;346.5497;346.5497;28.24022;175.9889;227.8471;1.537696;223.692;11.07252;11.63178;135.5229;4.678058;119.7668;8.003358;107.309;83.20102;31.90581;18.01403;7.208556;0.1496887;0.0;1.473935;0.0625;0.8866562;2.677931;13153.41;488.204;1796.948;0.77;56.64;0.018;0.042;0.18;0.854;0.872;1.273926;0.3674809;0.4745072;0.3146681;0.6013786
2022-07-03 06:55:00-03:00;49.10801;337.1362;337.1362;26.08027;171.9921;222.9091;1.441585;207.1735;10.38345;11.79913;136.5719;6.230789;119.7322;7.993104;106.8478;83.1821;31.66681;18.01304;7.20817;0.1496887;0.0;1.443997;0.0625;0.8716874;2.647994;13153.49;488.905;1797.095;0.77;56.77;0.02;0.04;0.18;0.85;0.91;1.181769;0.367577;0.4746789;0.3147626;0.6017849
2022-07-03 06:56:00-03:00;48.91124;339.7397;339.7397;26.57131;168.4505;224.1308;1.492577;225.6684;10.74348;11.13226;134.2761;5.260182;119.6332;7.982849;107.2012;83.16318;31.6958;18.01205;7.207785;0.1496887;0.0;1.41406;0.0625;0.8567185;2.618056;13153.57;489.606;1797.242;0.77;56.9;0.022;0.038;0.18;0.846;0.948;1.089612;0.367673;0.4748506;0.3148571;0.6021912
2022-07-03 06:57:00-03:00;50.69643;340.2021;340.2021;26.81555;172.2663;223.8465;1.470235;205.909;10.58587;11.7992;136.3454;6.48155;119.8375;7.972594;107.1994;83.14426;31.88146;18.01106;7.207399;0.1496887;0.0;1.384122;0.0625;0.8417496;2.588118;13153.65;490.307;1797.389;0.77;57.03;0.024;0.036;0.18;0.842;0.986;1.141147;0.3677691;0.4750222;0.3149516;0.6025975
2022-07-03 06:58:00-03:00;55.48776;341.2332;341.2332;26.11099;174.916;230.1659;1.41262;219.725;10.16965;11.91133;133.7339;6.307057;119.6457;7.96234;107.1975;83.12534;31.8445;18.01007;7.207014;0.1496887;0.0;1.354184;0.0625;0.8267807;2.55818;13153.74;491.008;1797.536;0.77;57.16;0.026;0.034;0.18;0.838;1.024;1.134553;0.3678652;0.4751939;0.3150461;0.6030038
